,Nº de Série do DOF,RegistroEntrada
656,610774,2019-11-02 15:39:00
657,294620,2019-09-25 12:50:00
658,296194,2019-10-28 17:34:00
659,686494,2019-10-28 17:34:00
660,513707,2019-09-27 11:42:00
661,549034,2019-09-27 18:12:00
662,478405,2019-09-27 11:42:00
663,547585,2019-09-27 18:12:00
664,551395,2019-09-27 11:42:00
665,452779,2019-11-02 15:39:00
666,439795,2019-11-02 15:39:00
667,653042,2019-09-25 12:50:00
668,648426,2019-09-27 18:12:00
669,530843,2019-09-27 11:42:00
670,657143,2019-09-25 12:50:00
671,581251,2019-09-27 11:42:00
672,539761,2019-09-27 18:12:00
673,540628,2019-09-25 12:50:00
674,487069,2019-09-27 18:12:00
675,488068,2019-10-28 17:34:00
676,469973,2019-09-27 11:42:00
677,463605,2019-11-02 15:39:00
678,642162,2019-10-28 17:34:00
679,607583,2019-11-02 15:39:00
680,613035,2019-09-25 12:50:00
681,612549,2019-09-27 18:12:00
682,613060,2019-09-27 18:12:00
683,610515,2019-09-25 12:50:00
684,285191,2019-09-27 11:42:00
685,411307,2019-09-27 18:12:00
686,484293,2019-09-27 11:42:00
687,483596,2019-09-27 11:42:00
688,497527,2019-09-25 12:50:00
689,636478,2019-09-27 11:42:00
690,543000,2019-11-02 15:39:00
691,617063,2019-09-27 18:12:00
692,509946,2019-09-27 18:12:00
693,250901,2019-09-25 12:50:00
694,283696,2019-09-27 18:12:00
695,682955,2019-11-02 15:39:00
696,696776,2019-11-02 15:39:00
697,461220,2019-09-27 18:12:00
698,510354,2019-09-25 12:50:00
699,502436,2019-11-02 15:39:00
700,504498,2019-11-02 15:39:00
701,474327,2019-09-25 12:50:00
702,580120,2019-11-02 15:39:00
703,445917,2019-09-27 18:12:00
704,502894,2019-09-27 18:12:00
705,581203,2019-10-28 17:34:00
706,633908,2019-09-25 12:50:00
707,633986,2019-09-25 12:50:00
708,547331,2019-10-28 17:34:00
709,545705,2019-10-28 17:34:00
710,295334,2019-11-02 15:39:00
711,478369,2019-09-27 18:12:00
712,573571,2019-09-27 11:42:00
713,387000,2019-09-27 11:42:00
714,538870,2019-09-25 12:50:00
715,475680,2019-11-02 15:39:00
716,514676,2019-11-02 15:39:00
717,620933,2019-09-25 12:50:00
718,427387,2019-09-25 12:50:00
719,427718,2019-09-27 18:12:00
720,286412,2019-09-25 12:50:00
721,284421,2019-09-27 11:42:00
722,612917,2019-09-27 18:12:00
723,572640,2019-09-25 12:50:00
724,541920,2019-10-28 17:34:00
725,579841,2019-09-25 12:50:00
726,522952,2019-09-27 11:42:00
727,450780,2019-09-27 18:12:00
728,534596,2019-09-25 12:50:00
729,534558,2019-10-28 17:34:00
730,538845,2019-11-02 15:39:00
731,494172,2019-11-02 15:39:00
732,522800,2019-09-27 11:42:00
733,361872,2019-10-28 17:34:00
734,554891,2019-09-27 18:12:00
735,446763,2019-09-25 12:50:00
736,545722,2019-11-02 15:39:00
737,674094,2019-10-28 17:34:00
738,442445,2019-11-02 15:39:00
739,503642,2019-09-25 12:50:00
740,610738,2019-09-27 18:12:00
741,610629,2019-09-27 11:42:00
742,608577,2019-11-02 15:39:00
743,490649,2019-09-27 11:42:00
744,610815,2019-09-27 18:12:00
745,498635,2019-09-25 12:50:00
746,396326,2019-10-28 17:34:00
747,423380,2019-09-27 18:12:00
748,555008,2019-09-25 12:50:00
749,676637,2019-09-27 18:12:00
750,553942,2019-10-28 17:34:00
751,520448,2019-09-27 18:12:00
752,521457,2019-11-02 15:39:00
753,497983,2019-10-28 17:34:00
754,265400,2019-09-25 12:50:00
755,523137,2019-09-25 12:50:00
756,524572,2019-10-28 17:34:00
757,632921,2019-09-27 11:42:00
758,515905,2019-11-02 15:39:00
759,451306,2019-10-28 17:34:00
760,593631,2019-09-25 12:50:00
761,354598,2019-09-27 11:42:00
762,405770,2019-10-28 17:34:00
763,276824,2019-11-02 15:39:00
764,633780,2019-11-02 15:39:00
765,390532,2019-09-25 12:50:00
766,557040,2019-09-27 11:42:00
767,557325,2019-09-25 12:50:00
768,698250,2019-11-02 15:39:00
769,471110,2019-09-27 18:12:00
770,370339,2019-10-28 17:34:00
